sigma,alpha,expected_il
0.6210526315789473,0.9,-0.06406644244725493
0.6631578947368422,0.1,0.04661756763643682
0.6631578947368422,0.12000000000000001,0.035239234549511465
0.6631578947368422,0.14,0.03846857650116091
0.6631578947368422,0.16,0.02319745669727719
0.6631578947368422,0.18,0.022643142116166453
0.6631578947368422,0.2,0.020765214320382176
0.6631578947368422,0.22,0.01797240861593412
0.6631578947368422,0.24000000000000002,0.015001368766133063
0.6631578947368422,0.26,0.0012059732883021328
0.6631578947368422,0.28,-0.007883987810895422
0.6631578947368422,0.30000000000000004,-0.002562123695540703
0.6631578947368422,0.32,-0.008904240317097724
0.6631578947368422,0.33999999999999997,-0.01089091624090651
0.6631578947368422,0.36,-0.017330018285050406
0.6631578947368422,0.38,-0.016662888572515216
0.6631578947368422,0.4,-0.026632843910824364
0.6631578947368422,0.42000000000000004,-0.025290302152945046
0.6631578947368422,0.44000000000000006,-0.03256120756478568
0.6631578947368422,0.45999999999999996,-0.03221083125414986
0.6631578947368422,0.48,-0.036436267270059226
0.6631578947368422,0.5,-0.0372888558049972
0.6631578947368422,0.52,-0.04185880943087518
0.6631578947368422,0.54,-0.04540732560577378
0.6631578947368422,0.56,-0.051458425705163575
0.6631578947368422,0.58,-0.05001513588230156
0.6631578947368422,0.6,-0.053756711180615376
0.6631578947368422,0.62,-0.0536731307593966
0.6631578947368422,0.64,-0.06184856564964943
0.6631578947368422,0.66,-0.054277220710358086
0.6631578947368422,0.6799999999999999,-0.058227167490818854
0.6631578947368422,0.7,-0.0695018254066734
0.6631578947368422,0.72,-0.06864445705974052
0.6631578947368422,0.74,-0.06238183381576164
0.6631578947368422,0.76,-0.06443640766039738
0.6631578947368422,0.78,-0.0684112272808265
0.6631578947368422,0.8,-0.07004433070940977
0.6631578947368422,0.82,-0.06981694363394761
0.6631578947368422,0.84,-0.06948707590254306
0.6631578947368422,0.86,-0.06942043146185306
0.6631578947368422,0.88,-0.0660361141676915
0.6631578947368422,0.9,-0.06439124349007831
0.7052631578947368,0.1,0.03840400615054361
0.7052631578947368,0.12000000000000001,0.0459277948697452
0.7052631578947368,0.14,0.03395254805175807
0.7052631578947368,0.16,0.02772755170175462
0.7052631578947368,0.18,0.022127293670768326
0.7052631578947368,0.2,0.013107406308523991
0.7052631578947368,0.22,0.007225225449507583
0.7052631578947368,0.24000000000000002,0.00669183299379096
0.7052631578947368,0.26,0.007250081824640976
0.7052631578947368,0.28,-0.00910061467877933
0.7052631578947368,0.30000000000000004,-0.012495357764337725
0.7052631578947368,0.32,-0.011628172659390347
0.7052631578947368,0.33999999999999997,-0.010447107994485626
0.7052631578947368,0.36,-0.020102679379597765
0.7052631578947368,0.38,-0.021332393291518575
0.7052631578947368,0.4,-0.026451966869059613
0.7052631578947368,0.42000000000000004,-0.03049539905527169
0.7052631578947368,0.44000000000000006,-0.03479297051692014
0.7052631578947368,0.45999999999999996,-0.036594106854909984
0.7052631578947368,0.48,-0.04071182543758514
0.7052631578947368,0.5,-0.04187467261500885
0.7052631578947368,0.52,-0.042548434941043475
